ID,Last Access,Availability,Child Course ID,WeightedTotal [Total Pts: up to 98.5 Percentage] |1704782,Total [Total Pts: up to 490 Score] |1704781,Quiz1 [Total Pts: 90 Score] |1719589,Quiz2 [Total Pts: 100 Score] |1719590,LabGrade [Total Pts: 100 Score] |1719591,Homework [Total Pts: 100 Score] |1719593,FinalExam [Total Pts: 100 Score] |1719594,MP
14184762,2018-11-29T13:58:35Z,Yes,16145.20182,76.26,218.4,81,57,NA,80.4,NA,78.05
13257744,2018-11-28T01:26:08Z,Yes,10870.20182,51.65866,154.73,62,61,NA,31.73,NA,31.06
14214265,2018-12-06T17:58:17Z,Yes,10870.20182,49.97733,154.11,70,70,NA,14.11,NA,10.98
14222814,2018-12-06T12:07:17Z,Yes,16145.20182,68.76,193.15,63,43,NA,87.15,NA,98.44
14334639,2018-12-06T12:26:23Z,Yes,16145.20182,88.67599,252.44,84,67,NA,101.44,NA,95.04
14242239,2018-11-29T09:28:36Z,Yes,16145.20182,86.87999,252.7,87,84,NA,81.7,NA,82.76
14255002,2018-11-25T15:41:14Z,Yes,16145.20182,80.10666,232.35,71,81,NA,80.35,NA,79.13
14326311,2018-12-06T12:05:20Z,Yes,16145.20182,82.18666,232.55,71,61,NA,100.55,NA,96.52
14283828,2018-12-06T18:01:19Z,Yes,10870.20182,73.46533,214.58,64,81,NA,69.58,NA,72.09
13893710,2018-12-06T16:54:40Z,Yes,10870.20182,85.42533,246.48,67,87,NA,92.48,NA,93.78
14316976,2018-12-06T12:08:40Z,Yes,10870.20182,78.23866,219.93,74,48,NA,97.93,NA,93.69
13803270,2018-11-29T11:11:36Z,Yes,16145.20182,85.99866,246.58,68,81,NA,97.58,NA,95.86
14199593,2018-12-06T18:12:23Z,Yes,16145.20182,21.872,64.43,0,39,NA,25.43,NA,34.07
14290766,2018-12-06T13:13:40Z,Yes,10870.20182,94.63066,273.16,89,87,NA,97.16,NA,100.66
14277720,2018-12-06T13:08:23Z,Yes,10870.20182,97.34266,281.44,86,95,NA,100.44,NA,102.4
14251079,2018-11-26T11:37:14Z,Yes,16145.20182,81.67866,234.53,68,76,NA,90.53,NA,91.34
14175225,2018-12-05T13:24:14Z,Yes,16145.20182,86.82666,250.65,83,79,NA,88.65,NA,91.8
14322743,2018-11-29T19:03:37Z,Yes,10870.20182,99.95333,290.05,91,100,NA,99.05,NA,99.36
14318365,2018-12-05T14:39:27Z,Yes,16145.20182,95.048,274.12,90,86,NA,98.12,NA,94.63
14253081,2018-11-18T23:10:54Z,Yes,10870.20182,95.86666,276.25,86,89,NA,101.25,NA,100.94
14321235,2018-12-06T14:11:18Z,Yes,16145.20182,94.98799,274.22,84,91,NA,99.22,NA,97.64
14244851,2018-12-04T14:34:15Z,Yes,16145.20182,82.12133,232.22,70,61,NA,101.22,NA,102.81
14245883,2018-12-05T20:30:19Z,Yes,16145.20182,75.86133,221.82,64,86,NA,71.82,NA,71.1
14248052,2018-12-05T15:42:45Z,Yes,16145.20182,56.81866,162.13,32,59,NA,71.13,NA,74.18
14251912,2018-11-20T00:17:06Z,Yes,16145.20182,90.01599,257.54,87,72,NA,98.54,NA,94.13
14216067,2018-12-05T11:37:17Z,Yes,16145.20182,65.71733,189.21,43,71,NA,75.21,NA,74.11
